album,artistPrimary,artists,id,songLength,title,year,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
Hard Or Smooth,Wreckx-N-Effect,Wreckx-N-Effect,4dY4JVC0Q9CwpeZ6JAclIc,312360,Rump Shaker,1992,0.00277,https://api.spotify.com/v1/audio-analysis/4dY4JVC0Q9CwpeZ6JAclIc,0.885,312360,0.81,0.0327,1,0.302,-6.83,1,0.235,102.773,4,https://api.spotify.com/v1/tracks/4dY4JVC0Q9CwpeZ6JAclIc,audio_features,spotify:track:4dY4JVC0Q9CwpeZ6JAclIc,0.247,Boom Bap
The One,Chubb Rock,Chubb Rock,2Y2BMQpevDt8Vr5Cadw4Jn,215533,Just The Two Of Us,1991,0.213,https://api.spotify.com/v1/audio-analysis/2Y2BMQpevDt8Vr5Cadw4Jn,0.856,215533,0.419,0.0,2,0.234,-12.526,1,0.25,90.385,4,https://api.spotify.com/v1/tracks/2Y2BMQpevDt8Vr5Cadw4Jn,audio_features,spotify:track:2Y2BMQpevDt8Vr5Cadw4Jn,0.42,Boom Bap
Doe Or Die,AZ,AZ,0lZWjBImx6kNe3WtOA09Xu,249760,Sugar Hill,1995,0.000693,https://api.spotify.com/v1/audio-analysis/0lZWjBImx6kNe3WtOA09Xu,0.683,249760,0.648,6.29e-06,8,0.0693,-7.332,1,0.188,181.874,4,https://api.spotify.com/v1/tracks/0lZWjBImx6kNe3WtOA09Xu,audio_features,spotify:track:0lZWjBImx6kNe3WtOA09Xu,0.532,Boom Bap
The Big Picture,Big L,Big L,1ZSOShzpHy3rGVkgfc0t8H,129693,98 Freestyle,2016,0.44,https://api.spotify.com/v1/audio-analysis/1ZSOShzpHy3rGVkgfc0t8H,0.608,129693,0.59,0.0,1,0.327,-12.1,0,0.752,175.8,4,https://api.spotify.com/v1/tracks/1ZSOShzpHy3rGVkgfc0t8H,audio_features,spotify:track:1ZSOShzpHy3rGVkgfc0t8H,0.907,Boom Bap
Nocturnal (Explicit),Heltah Skeltah,Heltah Skeltah,3RvFnZZz1x00l8FIHE5wxx,303000,Leflaur Leflah Eshkoshka,1996,0.0241,https://api.spotify.com/v1/audio-analysis/3RvFnZZz1x00l8FIHE5wxx,0.797,303000,0.547,0.0,11,0.313,-10.875,0,0.355,92.12,4,https://api.spotify.com/v1/tracks/3RvFnZZz1x00l8FIHE5wxx,audio_features,spotify:track:3RvFnZZz1x00l8FIHE5wxx,0.71,Boom Bap
Blah Blah Blah,Blahzay Blahzay,Blahzay Blahzay,5hHdrN23SMuJkAsoyUcN24,225266,Danger - Original Mix,1996,0.405,https://api.spotify.com/v1/audio-analysis/5hHdrN23SMuJkAsoyUcN24,0.797,225267,0.744,0.0,11,0.364,-7.966,1,0.362,88.84,4,https://api.spotify.com/v1/tracks/5hHdrN23SMuJkAsoyUcN24,audio_features,spotify:track:5hHdrN23SMuJkAsoyUcN24,0.794,Boom Bap
Profilin': The Hits,Camp Lo,Camp Lo,2OXAWAySnYPJHLvgLX5fFT,239533,Luchini Aka This Is It,1990,0.0469,https://api.spotify.com/v1/audio-analysis/2OXAWAySnYPJHLvgLX5fFT,0.693,239533,0.905,0.0,0,0.268,-8.701,1,0.303,82.911,4,https://api.spotify.com/v1/tracks/2OXAWAySnYPJHLvgLX5fFT,audio_features,spotify:track:2OXAWAySnYPJHLvgLX5fFT,0.832,Boom Bap
Liquid Swords,GZA,"GZA, Masta Killa, Dreddy Kruger, Inspectah Deck, Ol' Dirty Bastard",1OYjATyA5kqLK3CfYfvg3y,246226,Duel Of The Iron Mic,1995,0.101,https://api.spotify.com/v1/audio-analysis/1OYjATyA5kqLK3CfYfvg3y,0.705,246227,0.67,0.0,0,0.327,-5.263,1,0.305,91.0,4,https://api.spotify.com/v1/tracks/1OYjATyA5kqLK3CfYfvg3y,audio_features,spotify:track:1OYjATyA5kqLK3CfYfvg3y,0.291,Boom Bap
Crooklyn Volume 1 (Music From The Motion Picture),Crooklyn Dodgers,"Crooklyn Dodgers, Buck Shot, Special Ed, Master Ace",0vq8NI0gSVHC1N7sYa1PVq,273453,Crooklyn - Crooklyn/Soundtrack Version,1994,0.024,https://api.spotify.com/v1/audio-analysis/0vq8NI0gSVHC1N7sYa1PVq,0.841,273453,0.485,1.47e-05,8,0.863,-9.859,1,0.242,95.458,4,https://api.spotify.com/v1/tracks/0vq8NI0gSVHC1N7sYa1PVq,audio_features,spotify:track:0vq8NI0gSVHC1N7sYa1PVq,0.599,Boom Bap
The Legacy: The Best Of Big Pun,The Beatnuts,"The Beatnuts, Big Pun, Cuban Linx",3zoExZ6fKHXOUbZfS0zT3C,167520,Off the Books (feat. Big Punisher & Cuban Linx),2009,0.00671,https://api.spotify.com/v1/audio-analysis/3zoExZ6fKHXOUbZfS0zT3C,0.84,167520,0.797,0.00434,11,0.0951,-2.858,0,0.165,100.497,4,https://api.spotify.com/v1/tracks/3zoExZ6fKHXOUbZfS0zT3C,audio_features,spotify:track:3zoExZ6fKHXOUbZfS0zT3C,0.743,Boom Bap
