album,artistPrimary,artists,id,songLength,title,year,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
IV Life,King Tee,King Tee,69vk5Y6TB3B647rcKE84qm,249733,Dippin' - Remix,1995,0.0523,https://api.spotify.com/v1/audio-analysis/69vk5Y6TB3B647rcKE84qm,0.758,249733,0.511,0.00922,10,0.158,-6.322,0,0.138,93.684,4,https://api.spotify.com/v1/tracks/69vk5Y6TB3B647rcKE84qm,audio_features,spotify:track:69vk5Y6TB3B647rcKE84qm,0.379,G-Funk
Domino,Domino,Domino,6Q1Aop0fjFcyTXuY8OzxtY,259279,Ghetto Jam,1993,0.0368,https://api.spotify.com/v1/audio-analysis/6Q1Aop0fjFcyTXuY8OzxtY,0.793,259280,0.544,2.09e-06,9,0.335,-12.062,1,0.109,86.574,4,https://api.spotify.com/v1/tracks/6Q1Aop0fjFcyTXuY8OzxtY,audio_features,spotify:track:6Q1Aop0fjFcyTXuY8OzxtY,0.472,G-Funk
"G Funk Classics, Vols. 1 & 2",Nate Dogg,"Nate Dogg, Warren G",7miy73aP7NFhj8PL7V4VqM,274440,Nobody Does It Better,1998,0.462,https://api.spotify.com/v1/audio-analysis/7miy73aP7NFhj8PL7V4VqM,0.741,274440,0.561,0.0,0,0.134,-8.054,1,0.0565,92.042,4,https://api.spotify.com/v1/tracks/7miy73aP7NFhj8PL7V4VqM,audio_features,spotify:track:7miy73aP7NFhj8PL7V4VqM,0.12,G-Funk
Poetic Justice: Music from the Motion Picture,Mista Grimm,Mista Grimm,63KcYWznO0w3J5wymiT9QK,322226,Indo Smoke,1993,0.0288,https://api.spotify.com/v1/audio-analysis/63KcYWznO0w3J5wymiT9QK,0.785,322227,0.556,0.0,0,0.482,-11.7,0,0.271,98.836,4,https://api.spotify.com/v1/tracks/63KcYWznO0w3J5wymiT9QK,audio_features,spotify:track:63KcYWznO0w3J5wymiT9QK,0.601,G-Funk
This Is The Shack,Dove Shack,Dove Shack,7yOze3trRklt4gGPGyjVwN,238800,Summertime In The LBC,1995,0.447,https://api.spotify.com/v1/audio-analysis/7yOze3trRklt4gGPGyjVwN,0.695,238800,0.377,2.62e-05,5,0.0746,-9.586,1,0.034,99.029,4,https://api.spotify.com/v1/tracks/7yOze3trRklt4gGPGyjVwN,audio_features,spotify:track:7yOze3trRklt4gGPGyjVwN,0.468,G-Funk
Informal Introduction (Explicit Version),Shade Sheist,"Shade Sheist, Nate Dogg, Kurupt",3wQ8RcbLwNRH53FelAVCkX,260026,Where I Wanna Be,2002,0.0653,https://api.spotify.com/v1/audio-analysis/3wQ8RcbLwNRH53FelAVCkX,0.838,260027,0.563,0.0128,8,0.12,-7.105,1,0.0698,96.886,4,https://api.spotify.com/v1/tracks/3wQ8RcbLwNRH53FelAVCkX,audio_features,spotify:track:3wQ8RcbLwNRH53FelAVCkX,0.362,G-Funk
Dogg Food,Tha Dogg Pound,Tha Dogg Pound,4cgJF9rKas2H5AC8FnNts0,204440,Let's Play House,1995,0.0919,https://api.spotify.com/v1/audio-analysis/4cgJF9rKas2H5AC8FnNts0,0.822,204440,0.702,0.00559,10,0.191,-4.759,0,0.0755,91.37,4,https://api.spotify.com/v1/tracks/4cgJF9rKas2H5AC8FnNts0,audio_features,spotify:track:4cgJF9rKas2H5AC8FnNts0,0.804,G-Funk
Snoop Dogg Presents Tha Eastsidaz,Tha Eastsidaz,"Tha Eastsidaz, Butch Cassidy",1zIXpzuCC7FM4kECt2eEzu,273466,G'd Up,2001,0.0395,https://api.spotify.com/v1/audio-analysis/1zIXpzuCC7FM4kECt2eEzu,0.908,273467,0.763,0.0,1,0.0646,-5.739,1,0.28,97.106,4,https://api.spotify.com/v1/tracks/1zIXpzuCC7FM4kECt2eEzu,audio_features,spotify:track:1zIXpzuCC7FM4kECt2eEzu,0.593,G-Funk
Street Gospel,Suga Free,Suga Free,3zb1zBmkrPF6VW8RhlSYA1,265000,Why U Bullshittin'?,1997,0.0201,https://api.spotify.com/v1/audio-analysis/3zb1zBmkrPF6VW8RhlSYA1,0.839,265000,0.706,1.43e-06,6,0.339,-4.403,0,0.245,95.047,4,https://api.spotify.com/v1/tracks/3zb1zBmkrPF6VW8RhlSYA1,audio_features,spotify:track:3zb1zBmkrPF6VW8RhlSYA1,0.714,G-Funk
Safe + Sound,DJ Quik,DJ Quik,5xEm63lXBhJKZgjRDMWH3H,352906,Dollaz + Sense,1995,0.0184,https://api.spotify.com/v1/audio-analysis/5xEm63lXBhJKZgjRDMWH3H,0.833,352907,0.64,0.0,10,0.102,-5.674,0,0.219,99.284,4,https://api.spotify.com/v1/tracks/5xEm63lXBhJKZgjRDMWH3H,audio_features,spotify:track:5xEm63lXBhJKZgjRDMWH3H,0.465,G-Funk
Death Certificate (25th Anniversary Edition),Ice Cube,Ice Cube,5FvlQZTm4eOGeUiAB1bKc9,313053,No Vaseline,2017,0.174,https://api.spotify.com/v1/audio-analysis/5FvlQZTm4eOGeUiAB1bKc9,0.558,313053,0.959,0.0,11,0.422,-3.193,0,0.386,104.733,4,https://api.spotify.com/v1/tracks/5FvlQZTm4eOGeUiAB1bKc9,audio_features,spotify:track:5FvlQZTm4eOGeUiAB1bKc9,0.522,G-Funk
Quik Is The Name,DJ Quik,DJ Quik,2hluGQtmPypU3tsQudCQ3U,323266,Tonite,1991,0.0502,https://api.spotify.com/v1/audio-analysis/2hluGQtmPypU3tsQudCQ3U,0.965,323267,0.449,1.17e-06,0,0.267,-15.225,1,0.237,105.392,4,https://api.spotify.com/v1/tracks/2hluGQtmPypU3tsQudCQ3U,audio_features,spotify:track:2hluGQtmPypU3tsQudCQ3U,0.722,G-Funk
Gangsta Memorial (Explicit),Eazy-E,Eazy-E,53BZ6XygAoubR5DU5w38Vq,332733,Real Muthaphuckkin' G's,2007,0.0164,https://api.spotify.com/v1/audio-analysis/53BZ6XygAoubR5DU5w38Vq,0.724,332733,0.853,0.0,11,0.65,-3.895,0,0.283,170.51,4,https://api.spotify.com/v1/tracks/53BZ6XygAoubR5DU5w38Vq,audio_features,spotify:track:53BZ6XygAoubR5DU5w38Vq,0.775,G-Funk
2001,Dr. Dre,"Dr. Dre, Snoop Dogg",4LwU4Vp6od3Sb08CsP99GC,161506,The Next Episode,1999,0.0279,https://api.spotify.com/v1/audio-analysis/4LwU4Vp6od3Sb08CsP99GC,0.916,161507,0.906,0.0,3,0.0803,-2.494,0,0.195,95.3,4,https://api.spotify.com/v1/tracks/4LwU4Vp6od3Sb08CsP99GC,audio_features,spotify:track:4LwU4Vp6od3Sb08CsP99GC,0.291,G-Funk
Regulate… G Funk Era (Special Edition),Warren G,"Warren G, Nate Dogg",7nYvUtkQMx1v80S2FH2s9J,248866,Regulate,1994,0.29,https://api.spotify.com/v1/audio-analysis/7nYvUtkQMx1v80S2FH2s9J,0.845,248867,0.51,2.39e-06,11,0.114,-13.064,0,0.224,95.265,4,https://api.spotify.com/v1/tracks/7nYvUtkQMx1v80S2FH2s9J,audio_features,spotify:track:7nYvUtkQMx1v80S2FH2s9J,0.74,G-Funk
The Predator,Ice Cube,Ice Cube,2qOm7ukLyHUXWyR4ZWLwxA,260000,It Was A Good Day,1992,0.321,https://api.spotify.com/v1/audio-analysis/2qOm7ukLyHUXWyR4ZWLwxA,0.796,260000,0.748,4.94e-05,5,0.217,-5.409,0,0.126,82.384,4,https://api.spotify.com/v1/tracks/2qOm7ukLyHUXWyR4ZWLwxA,audio_features,spotify:track:2qOm7ukLyHUXWyR4ZWLwxA,0.802,G-Funk
Starring...Eazy E,Penthouse Players Clique,Penthouse Players Clique,0gyV6KbUN5HccK8oZt2Ox6,302760,Trust No Bitch - Feat. Eazy-E,2007,0.0202,https://api.spotify.com/v1/audio-analysis/0gyV6KbUN5HccK8oZt2Ox6,0.872,302760,0.857,0.0,4,0.129,-3.566,0,0.166,90.207,4,https://api.spotify.com/v1/tracks/0gyV6KbUN5HccK8oZt2Ox6,audio_features,spotify:track:0gyV6KbUN5HccK8oZt2Ox6,0.551,G-Funk
The Best of 2Pac - Pt. 1: Thug,2Pac,"2Pac, Roger, Dr. Dre",3djNBlI7xOggg7pnsOLaNm,284480,California Love - Original Mix (Explicit),2007,0.033,https://api.spotify.com/v1/audio-analysis/3djNBlI7xOggg7pnsOLaNm,0.77,284480,0.832,0.0,7,0.41,-3.039,1,0.0451,91.513,4,https://api.spotify.com/v1/tracks/3djNBlI7xOggg7pnsOLaNm,audio_features,spotify:track:3djNBlI7xOggg7pnsOLaNm,0.771,G-Funk
Lethal Injection,Ice Cube,Ice Cube,2Ih217RCGAmyQR68Nn7Cqo,232773,You Know How We Do It,1993,0.109,https://api.spotify.com/v1/audio-analysis/2Ih217RCGAmyQR68Nn7Cqo,0.761,232773,0.516,0.0391,10,0.109,-10.593,0,0.0379,92.871,4,https://api.spotify.com/v1/tracks/2Ih217RCGAmyQR68Nn7Cqo,audio_features,spotify:track:2Ih217RCGAmyQR68Nn7Cqo,0.627,G-Funk
Doggystyle,Snoop Dogg,"Snoop Dogg, Daz Dillinger",0WKYRFtH6KKbaNWjsxqm70,211493,Gin And Juice (feat. Dat Nigga Daz),1993,0.0285,https://api.spotify.com/v1/audio-analysis/0WKYRFtH6KKbaNWjsxqm70,0.549,211493,0.853,0.000296,7,0.618,-4.293,1,0.188,94.695,4,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70,audio_features,spotify:track:0WKYRFtH6KKbaNWjsxqm70,0.346,G-Funk
Doggystyle,Snoop Dogg,Snoop Dogg,5XhkV07Vou38wnrzwURUOC,246320,Who Am I (What's My Name)?,1993,0.000136,https://api.spotify.com/v1/audio-analysis/5XhkV07Vou38wnrzwURUOC,0.692,246320,0.833,1.98e-05,7,0.515,-3.974,1,0.0492,96.814,4,https://api.spotify.com/v1/tracks/5XhkV07Vou38wnrzwURUOC,audio_features,spotify:track:5XhkV07Vou38wnrzwURUOC,0.692,G-Funk
Doggystyle,Snoop Dogg,"Snoop Dogg, Kurupt, Nate Dogg, Warren G",4rLpAOk5KVNcqEMK3m6Lje,246346,"Ain't No Fun (If the Homies Cant Have None) (feat. Nate Dogg, Warren G & Kurupt)",1993,0.045,https://api.spotify.com/v1/audio-analysis/4rLpAOk5KVNcqEMK3m6Lje,0.84,246347,0.798,4.32e-05,8,0.172,-5.079,1,0.0699,100.175,4,https://api.spotify.com/v1/tracks/4rLpAOk5KVNcqEMK3m6Lje,audio_features,spotify:track:4rLpAOk5KVNcqEMK3m6Lje,0.695,G-Funk
Doggystyle,Snoop Dogg,Snoop Dogg,1BZm0t49YEhM8xbTINoQKp,280600,Tha Shiznit,1993,0.00197,https://api.spotify.com/v1/audio-analysis/1BZm0t49YEhM8xbTINoQKp,0.769,280600,0.691,0.0,4,0.298,-4.59,0,0.0563,96.792,4,https://api.spotify.com/v1/tracks/1BZm0t49YEhM8xbTINoQKp,audio_features,spotify:track:1BZm0t49YEhM8xbTINoQKp,0.681,G-Funk
Doggystyle,Snoop Dogg,"Snoop Dogg, Nancy Fletcher",1dizvxctg9dHEyaYTFufVi,275893,Gz And Hustlas (feat. Nancy Fletcher),1993,0.164,https://api.spotify.com/v1/audio-analysis/1dizvxctg9dHEyaYTFufVi,0.652,275893,0.814,0.0,1,0.36,-4.901,1,0.31,91.888,4,https://api.spotify.com/v1/tracks/1dizvxctg9dHEyaYTFufVi,audio_features,spotify:track:1dizvxctg9dHEyaYTFufVi,0.788,G-Funk
Doggystyle,Snoop Dogg,"Snoop Dogg, The Dramatics, Tha Dogg Pound",7pf6YT5CmmQxs6Uz7dABNB,338813,Doggy Dogg World (feat. The Dramatics & Tha Dogg Pound),1993,0.0036,https://api.spotify.com/v1/audio-analysis/7pf6YT5CmmQxs6Uz7dABNB,0.685,338813,0.686,0.0,7,0.0959,-6.311,1,0.292,94.188,4,https://api.spotify.com/v1/tracks/7pf6YT5CmmQxs6Uz7dABNB,audio_features,spotify:track:7pf6YT5CmmQxs6Uz7dABNB,0.682,G-Funk
Street Scholars,Sam Sneed,Sam Sneed,0meylmtG6jOV9rtQ0xC87J,233813,U Better Recognize (feat. Dr. Dre),2011,0.0329,https://api.spotify.com/v1/audio-analysis/0meylmtG6jOV9rtQ0xC87J,0.793,233813,0.675,2.36e-05,8,0.237,-6.85,0,0.236,90.347,4,https://api.spotify.com/v1/tracks/0meylmtG6jOV9rtQ0xC87J,audio_features,spotify:track:0meylmtG6jOV9rtQ0xC87J,0.237,G-Funk
Friday (Original Motion Picture Soundtrack),Dr. Dre,Dr. Dre,7jIujRjK5JKNrMCcAvYUTN,305573,Keep Their Heads Ringin',1995,0.0442,https://api.spotify.com/v1/audio-analysis/7jIujRjK5JKNrMCcAvYUTN,0.672,305573,0.785,0.00253,9,0.136,-4.214,0,0.109,90.574,4,https://api.spotify.com/v1/tracks/7jIujRjK5JKNrMCcAvYUTN,audio_features,spotify:track:7jIujRjK5JKNrMCcAvYUTN,0.219,G-Funk
Kuruption!,Kurupt,Kurupt,2OCTC6cPRdI3Dvdb25jRDC,250040,We Can Freak It,1998,0.00673,https://api.spotify.com/v1/audio-analysis/2OCTC6cPRdI3Dvdb25jRDC,0.784,250040,0.57,0.0,10,0.331,-8.086,0,0.149,99.057,4,https://api.spotify.com/v1/tracks/2OCTC6cPRdI3Dvdb25jRDC,audio_features,spotify:track:2OCTC6cPRdI3Dvdb25jRDC,0.605,G-Funk
Regulate… G Funk Era (Special Edition),Warren G,"Warren G, O.G.L.B.",2ImuQo1g14CTR9hZAZD3aQ,203026,This D.J.,1994,0.0327,https://api.spotify.com/v1/audio-analysis/2ImuQo1g14CTR9hZAZD3aQ,0.804,203027,0.438,0.0129,6,0.112,-10.563,0,0.138,92.034,4,https://api.spotify.com/v1/tracks/2ImuQo1g14CTR9hZAZD3aQ,audio_features,spotify:track:2ImuQo1g14CTR9hZAZD3aQ,0.576,G-Funk
Best Of Mack 10,Mack 10,Mack 10,2rwmKpWW6o6anOhvcyiJOw,241360,Nothin' But The Cavi Hit,2007,0.0247,https://api.spotify.com/v1/audio-analysis/2rwmKpWW6o6anOhvcyiJOw,0.852,241360,0.741,0.00106,1,0.0974,-5.435,0,0.135,97.894,4,https://api.spotify.com/v1/tracks/2rwmKpWW6o6anOhvcyiJOw,audio_features,spotify:track:2rwmKpWW6o6anOhvcyiJOw,0.534,G-Funk
Bow Down,Westside Connection,Westside Connection,2Vpj5colB0MPy3Zg5SITEC,206826,Bow Down,1996,0.0208,https://api.spotify.com/v1/audio-analysis/2Vpj5colB0MPy3Zg5SITEC,0.897,206827,0.458,0.0,9,0.419,-11.01,1,0.279,92.928,4,https://api.spotify.com/v1/tracks/2Vpj5colB0MPy3Zg5SITEC,audio_features,spotify:track:2Vpj5colB0MPy3Zg5SITEC,0.513,G-Funk
Above The Rim,Tha Dogg Pound,Tha Dogg Pound,5w8PlPsI3bUYSjNyM43HEK,237133,Big Pimpin',2001,0.018,https://api.spotify.com/v1/audio-analysis/5w8PlPsI3bUYSjNyM43HEK,0.82,237133,0.631,0.0,10,0.376,-7.563,0,0.23,93.647,4,https://api.spotify.com/v1/tracks/5w8PlPsI3bUYSjNyM43HEK,audio_features,spotify:track:5w8PlPsI3bUYSjNyM43HEK,0.53,G-Funk
Born And Raised In Compton: The Greatest Hits,DJ Quik,DJ Quik,1N7qu71GFoEzp7KK10Y7m3,247560,Pitch In OnA Party,1991,0.0629,https://api.spotify.com/v1/audio-analysis/1N7qu71GFoEzp7KK10Y7m3,0.927,247560,0.558,0.0,6,0.0674,-6.666,1,0.236,106.376,4,https://api.spotify.com/v1/tracks/1N7qu71GFoEzp7KK10Y7m3,audio_features,spotify:track:1N7qu71GFoEzp7KK10Y7m3,0.53,G-Funk
Greatest Hits,2Pac,"2Pac, Snoop Dogg",6S5SJlNXgrUBTLa58NMwGk,246666,2 Of Amerikaz Most Wanted,1998,0.0418,https://api.spotify.com/v1/audio-analysis/6S5SJlNXgrUBTLa58NMwGk,0.863,246667,0.881,0.000648,1,0.0512,-3.888,1,0.126,99.255,4,https://api.spotify.com/v1/tracks/6S5SJlNXgrUBTLa58NMwGk,audio_features,spotify:track:6S5SJlNXgrUBTLa58NMwGk,0.842,G-Funk
Dogg Food,Tha Dogg Pound,Tha Dogg Pound,3ooAjhyOZ1xttGD0iq1GVO,290440,"New York, New York",1995,0.0219,https://api.spotify.com/v1/audio-analysis/3ooAjhyOZ1xttGD0iq1GVO,0.827,290440,0.532,2.91e-05,2,0.127,-4.775,1,0.302,87.257,4,https://api.spotify.com/v1/tracks/3ooAjhyOZ1xttGD0iq1GVO,audio_features,spotify:track:3ooAjhyOZ1xttGD0iq1GVO,0.694,G-Funk
Duces 'N Trayz: The Old Fashioned Way,Kokane,"Kokane, Sir Dogg, Snoopy Collins, Tha Eastsidaz",7nbH85acNzcX2WrjAHUVd3,298493,"I Luv It (feat. Kokane, Sir Dogg & Snoopy Collins)",2001,0.0181,https://api.spotify.com/v1/audio-analysis/7nbH85acNzcX2WrjAHUVd3,0.889,298493,0.713,0.0,1,0.0715,-4.845,1,0.228,102.028,4,https://api.spotify.com/v1/tracks/7nbH85acNzcX2WrjAHUVd3,audio_features,spotify:track:7nbH85acNzcX2WrjAHUVd3,0.436,G-Funk
Mack 10,Mack 10,Mack 10,28SF0lKRqso9SSTDpbv991,253800,Foe Life - Feat. Ice Cube,1995,0.0816,https://api.spotify.com/v1/audio-analysis/28SF0lKRqso9SSTDpbv991,0.917,253800,0.665,0.0,8,0.196,-6.053,1,0.0924,91.082,4,https://api.spotify.com/v1/tracks/28SF0lKRqso9SSTDpbv991,audio_features,spotify:track:28SF0lKRqso9SSTDpbv991,0.808,G-Funk
Kuruption!,Kurupt,"Kurupt, Tray Dee, Slip Capone",6S1oHrwjeF66VRUl1b76P6,311666,C-Walk,1998,0.0271,https://api.spotify.com/v1/audio-analysis/6S1oHrwjeF66VRUl1b76P6,0.92,311667,0.449,2.79e-05,0,0.0749,-8.849,1,0.269,94.996,4,https://api.spotify.com/v1/tracks/6S1oHrwjeF66VRUl1b76P6,audio_features,spotify:track:6S1oHrwjeF66VRUl1b76P6,0.631,G-Funk
The Shadiest One,WC,WC,2usvuw8giHNlrFq2onEw74,239466,Just Clownin',1998,0.17,https://api.spotify.com/v1/audio-analysis/2usvuw8giHNlrFq2onEw74,0.941,239467,0.605,2.33e-06,11,0.165,-3.11,0,0.287,96.1,4,https://api.spotify.com/v1/tracks/2usvuw8giHNlrFq2onEw74,audio_features,spotify:track:2usvuw8giHNlrFq2onEw74,0.607,G-Funk
Music And Me,Nate Dogg,Nate Dogg,52riputZ4Vo5PG9MOSy6r5,236226,I Got Love,2001,0.437,https://api.spotify.com/v1/audio-analysis/52riputZ4Vo5PG9MOSy6r5,0.912,236227,0.416,0.306,10,0.09,-5.943,0,0.164,90.013,4,https://api.spotify.com/v1/tracks/52riputZ4Vo5PG9MOSy6r5,audio_features,spotify:track:52riputZ4Vo5PG9MOSy6r5,0.677,G-Funk
Safe + Sound,DJ Quik,DJ Quik,7sdPfA9e6rtF9JfAzllLA2,355440,Somethin' 4 tha Mood,1995,0.143,https://api.spotify.com/v1/audio-analysis/7sdPfA9e6rtF9JfAzllLA2,0.791,355440,0.581,9.44e-06,10,0.162,-10.116,0,0.162,99.003,4,https://api.spotify.com/v1/tracks/7sdPfA9e6rtF9JfAzllLA2,audio_features,spotify:track:7sdPfA9e6rtF9JfAzllLA2,0.764,G-Funk
Hits II,Spice 1,"Spice 1, Luniz, E-40, Mike Marshall, Shock G",5ZY9x3X2CujeJc59pJ9EUV,254560,I Got Five On It Remix,2001,0.234,https://api.spotify.com/v1/audio-analysis/5ZY9x3X2CujeJc59pJ9EUV,0.539,254560,0.584,0.0,10,0.198,-10.616,0,0.335,86.441,4,https://api.spotify.com/v1/tracks/5ZY9x3X2CujeJc59pJ9EUV,audio_features,spotify:track:5ZY9x3X2CujeJc59pJ9EUV,0.674,G-Funk
Savage Mode,21 Savage,"21 Savage, Metro Boomin, Future",6fwdbPMwP1zVStm8FybmkO,258880,X (feat. Future),2016,0.373,https://api.spotify.com/v1/audio-analysis/6fwdbPMwP1zVStm8FybmkO,0.835,258880,0.413,0.00133,1,0.101,-9.81,1,0.396,149.004,4,https://api.spotify.com/v1/tracks/6fwdbPMwP1zVStm8FybmkO,audio_features,spotify:track:6fwdbPMwP1zVStm8FybmkO,0.111,Trap
Culture,Migos,"Migos, Gucci Mane",6p8NuHm8uCGnn2Dtbtf7zE,304041,Slippery (feat. Gucci Mane),2017,0.307,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,0.92,304041,0.674,0.0,1,0.104,-5.662,0,0.264,141.967,4,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,audio_features,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.741,Trap
Luv Is Rage 2,Lil Uzi Vert,Lil Uzi Vert,7GX5flRQZVHRAGd6B4TmDO,182706,XO TOUR Llif3,2017,0.00264,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,https://api.spotify.com/v1/tracks/7GX5flRQZVHRAGd6B4TmDO,audio_features,spotify:track:7GX5flRQZVHRAGd6B4TmDO,0.401,Trap
Without Warning,Offset,"Offset, Metro Boomin",7sO5G9EABYOXQKNPNiE9NR,172800,Ric Flair Drip (& Metro Boomin),2017,0.149,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,0.88,172800,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333,Trap
FUTURE,Future,Future,0VgkVdmE4gld66l8iyGjgx,204600,Mask Off,2017,0.0102,https://api.spotify.com/v1/audio-analysis/0VgkVdmE4gld66l8iyGjgx,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,audio_features,spotify:track:0VgkVdmE4gld66l8iyGjgx,0.281,Trap
DS2 (Deluxe),Future,Future,49zD0wr2S3d0lZPib0K4e1,237400,F*ck Up Some Commas,2015,0.0698,https://api.spotify.com/v1/audio-analysis/49zD0wr2S3d0lZPib0K4e1,0.874,237400,0.568,1.38e-05,11,0.149,-5.896,0,0.224,139.995,4,https://api.spotify.com/v1/tracks/49zD0wr2S3d0lZPib0K4e1,audio_features,spotify:track:49zD0wr2S3d0lZPib0K4e1,0.46,Trap
16 Zips,Young Dolph,"Young Dolph, Jadakiss",3CwskI6t9fDqsJ80uZwg6t,178311,Addicted,2015,0.103,https://api.spotify.com/v1/audio-analysis/3CwskI6t9fDqsJ80uZwg6t,0.719,178312,0.59,0.0,1,0.109,-5.946,1,0.189,135.097,4,https://api.spotify.com/v1/tracks/3CwskI6t9fDqsJ80uZwg6t,audio_features,spotify:track:3CwskI6t9fDqsJ80uZwg6t,0.191,Trap
Lil Boat 2,Lil Yachty,"Lil Yachty, Lil Pump, Offset",3ALgsy4RtDm58xl3VNoSgZ,185883,BABY DADDY,2018,0.00872,https://api.spotify.com/v1/audio-analysis/3ALgsy4RtDm58xl3VNoSgZ,0.972,185883,0.482,0.0,8,0.149,-6.128,1,0.0703,125.014,4,https://api.spotify.com/v1/tracks/3ALgsy4RtDm58xl3VNoSgZ,audio_features,spotify:track:3ALgsy4RtDm58xl3VNoSgZ,0.0767,Trap
Coalition DJs Presents: Certified (feat. Jacquees),T.I.,"T.I., Jacquees",0iXwuwqcP33aAUMIN0Uhns,239255,Certified (feat. Jacquees),2017,0.0257,https://api.spotify.com/v1/audio-analysis/0iXwuwqcP33aAUMIN0Uhns,0.898,239256,0.481,2.57e-06,8,0.113,-6.633,1,0.082,129.962,4,https://api.spotify.com/v1/tracks/0iXwuwqcP33aAUMIN0Uhns,audio_features,spotify:track:0iXwuwqcP33aAUMIN0Uhns,0.457,Trap
34,Rich Homie Quan,Rich Homie Quan,1SNzu8thOiwIeMOPjylCnp,168392,34,2018,0.0341,https://api.spotify.com/v1/audio-analysis/1SNzu8thOiwIeMOPjylCnp,0.835,168392,0.545,0.0,1,0.115,-6.975,1,0.183,140.021,4,https://api.spotify.com/v1/tracks/1SNzu8thOiwIeMOPjylCnp,audio_features,spotify:track:1SNzu8thOiwIeMOPjylCnp,0.382,Trap
I Still Am,Yo Gotti,Yo Gotti,1psC5iHzQxaTMZ5dWGfM6I,149241,Juice,2017,0.00171,https://api.spotify.com/v1/audio-analysis/1psC5iHzQxaTMZ5dWGfM6I,0.887,149242,0.568,1.11e-05,2,0.0812,-5.853,1,0.323,162.038,4,https://api.spotify.com/v1/tracks/1psC5iHzQxaTMZ5dWGfM6I,audio_features,spotify:track:1psC5iHzQxaTMZ5dWGfM6I,0.754,Trap
Ain't No Mixtape Bih 3,Plies,Plies,4GXM7RnKwrWwDuM8KCb1Gp,172904,Rock,2017,0.0952,https://api.spotify.com/v1/audio-analysis/4GXM7RnKwrWwDuM8KCb1Gp,0.953,172905,0.482,0.0,4,0.0913,-11.678,0,0.168,122.138,4,https://api.spotify.com/v1/tracks/4GXM7RnKwrWwDuM8KCb1Gp,audio_features,spotify:track:4GXM7RnKwrWwDuM8KCb1Gp,0.758,Trap
ATLiens,OutKast,OutKast,5aC5KtkmNBfX1iFX4EVfCO,238360,Decatur Psalm,1996,0.316,https://api.spotify.com/v1/audio-analysis/5aC5KtkmNBfX1iFX4EVfCO,0.742,238360,0.627,0.0,4,0.168,-8.921,0,0.326,81.04,4,https://api.spotify.com/v1/tracks/5aC5KtkmNBfX1iFX4EVfCO,audio_features,spotify:track:5aC5KtkmNBfX1iFX4EVfCO,0.586,Trap
Pretty Girls Like Trap Music,2 Chainz,"2 Chainz, Travis Scott",1nX9KhK3Fff27SnrIor2Yb,255560,4 AM,2017,0.122,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,0.796,255560,0.513,0.0,6,0.15,-7.14,0,0.452,75.018,4,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,audio_features,spotify:track:1nX9KhK3Fff27SnrIor2Yb,0.235,Trap
123 (with Murda Beatz),Smokepurpp,"Smokepurpp, Murda Beatz",2xCzUIQwX5Y3wEFJnHoc3J,170000,123,2018,0.196,https://api.spotify.com/v1/audio-analysis/2xCzUIQwX5Y3wEFJnHoc3J,0.88,170000,0.61,0.0,9,0.105,-5.257,1,0.402,135.993,4,https://api.spotify.com/v1/tracks/2xCzUIQwX5Y3wEFJnHoc3J,audio_features,spotify:track:2xCzUIQwX5Y3wEFJnHoc3J,0.383,Trap
Plug Walk,Rich The Kid,Rich The Kid,0gD6lWJhbXHWNVwQziSVvl,175510,Plug Walk,2018,0.224,https://api.spotify.com/v1/audio-analysis/0gD6lWJhbXHWNVwQziSVvl,0.882,175511,0.503,0.0,11,0.108,-6.618,1,0.179,95.011,4,https://api.spotify.com/v1/tracks/0gD6lWJhbXHWNVwQziSVvl,audio_features,spotify:track:0gD6lWJhbXHWNVwQziSVvl,0.176,Trap
Bounce Out With That,YBN Nahmir,YBN Nahmir,5lZsh9Qf7CbHI9Fcc7Zcsq,97201,Bounce Out With That,2018,0.037,https://api.spotify.com/v1/audio-analysis/5lZsh9Qf7CbHI9Fcc7Zcsq,0.865,97202,0.652,0.0,8,0.0925,-8.218,1,0.105,94.946,4,https://api.spotify.com/v1/tracks/5lZsh9Qf7CbHI9Fcc7Zcsq,audio_features,spotify:track:5lZsh9Qf7CbHI9Fcc7Zcsq,0.372,Trap
